equipment_id,machine_type,operating_hours,part_number,part_category,part_price_usd,failure_rate_est,expected_replacement_interval_hours,supplier,lead_time_days,downtime_impact_hours
EQ-0091,Excavator,2253,PART-5027,Engine,341.33,0.08795374015520138,1829,Wirtgen,30,51
EQ-0092,Paver,3069,PART-3912,Electrical,430.52,0.20960340662889893,3678,Dynapac,34,8
EQ-0093,Excavator,2768,PART-5744,Electrical,85.16,0.14107759222478308,3211,LocalVendor1,39,195
EQ-0094,Excavator,3056,PART-2873,Electrical,60.87,0.13335854460731306,2782,CAT,46,184
EQ-0095,Paver,3354,PART-4258,Engine,1601.79,0.16630099154181757,3106,CAT,47,14
EQ-0096,Excavator,2865,PART-3817,Hydraulic,129.47,0.2004540459386752,2922,CAT,36,32
EQ-0097,AsphaltPlant,2828,PART-9636,Transmission,66.6,0.08287166295258865,1980,LocalVendor1,44,125
EQ-0098,Roller,2564,PART-4641,Filters,113.17,0.21110428431333006,2165,CAT,4,130
EQ-0099,Roller,1349,PART-5458,Wear,61.92,0.25148974638413446,1112,Wirtgen,20,138
EQ-0100,Paver,3665,PART-6307,Hydraulic,199.18,0.050171434186717656,3116,LocalVendor1,11,159
EQ-0101,Bulldozer,2290,PART-9933,Wear,536.46,0.1694809285389482,2710,LocalVendor2,28,144
EQ-0102,Paver,3149,PART-3041,Filters,175.22,0.12865544513498708,2732,LocalVendor1,16,66
EQ-0103,Bulldozer,3500,PART-1679,Engine,226.2,0.1989461406504098,2852,LocalVendor1,12,184
EQ-0104,Roller,1819,PART-6738,Electrical,387.72,0.0648338551231204,1823,Dynapac,48,180
EQ-0105,Paver,1894,PART-6668,Electrical,263.33,0.2640256757950503,2309,Dynapac,27,71
EQ-0106,AsphaltPlant,2015,PART-8697,Engine,642.95,0.03744736354996514,1702,Dynapac,25,178
EQ-0107,Excavator,3969,PART-9033,Hydraulic,653.05,0.13290033421564262,2965,Volvo,14,78
EQ-0108,Bulldozer,1494,PART-1062,Hydraulic,52.99,0.18040072531967521,1365,Wirtgen,33,99
EQ-0109,Excavator,4271,PART-8829,Wear,501.59,0.10195642071456223,4905,LocalVendor1,38,147
EQ-0110,Excavator,2552,PART-8352,Engine,235.26,0.09096189160800736,2629,LocalVendor1,5,40
EQ-0111,Paver,2633,PART-7915,Hydraulic,1398.64,0.16555649456413668,3133,Dynapac,14,146
EQ-0112,Excavator,3432,PART-9326,Engine,248.05,0.15544319439937562,4378,LocalVendor1,10,116
EQ-0113,AsphaltPlant,2423,PART-4644,Filters,1350.45,0.15041567185906046,2848,LocalVendor2,58,135
EQ-0114,Excavator,3683,PART-5970,Electrical,471.42,0.21010819580259382,3912,LocalVendor1,50,117
EQ-0115,Paver,1818,PART-9003,Electrical,135.75,0.1223869114600385,1810,CAT,35,114
EQ-0116,AsphaltPlant,4210,PART-4278,Electrical,281.91,0.17237148548565032,3048,LocalVendor2,57,118
EQ-0117,Roller,1884,PART-8296,Engine,1503.62,0.11453780342069295,2431,LocalVendor2,38,71
EQ-0118,Excavator,4281,PART-4074,Engine,634.59,0.09054693599194143,3981,LocalVendor1,49,130
EQ-0119,Paver,1908,PART-9312,Wear,80.73,0.1300668960056987,1509,Volvo,8,90
EQ-0120,Roller,2042,PART-8552,Electrical,417.63,0.11508643689644578,2246,Dynapac,2,23
EQ-0121,Roller,1408,PART-2637,Wear,177.2,0.1185837339186053,1225,Wirtgen,59,186
EQ-0122,Bulldozer,1598,PART-6103,Electrical,52.1,0.2315729192461513,1680,Wirtgen,13,73
EQ-0123,AsphaltPlant,2296,PART-1644,Wear,204.99,0.1322127582175112,2415,CAT,22,14
EQ-0124,Excavator,2595,PART-3032,Wear,130.27,0.10359653294040945,2510,Wirtgen,12,165
EQ-0125,Paver,3566,PART-3761,Filters,562.56,0.15196551418335932,4285,Wirtgen,45,145
EQ-0126,Bulldozer,2109,PART-3068,Wear,173.44,0.15729595573898852,1811,Dynapac,52,132
EQ-0127,AsphaltPlant,1318,PART-1241,Engine,577.25,0.06691831392841499,1277,Dynapac,59,103
EQ-0128,Bulldozer,2771,PART-3668,Wear,50.18,0.12911156096533094,2833,Volvo,45,183
EQ-0129,AsphaltPlant,2517,PART-1802,Electrical,160.37,0.1262920973130982,2764,CAT,45,36
EQ-0130,AsphaltPlant,2906,PART-6059,Wear,132.79,0.13794990084040687,3401,Wirtgen,15,116
EQ-0131,Excavator,1710,PART-1195,Hydraulic,129.8,0.200786986112659,1602,Volvo,35,28
EQ-0132,AsphaltPlant,1805,PART-3187,Transmission,71.19,0.1595670309814018,1963,CAT,35,39
EQ-0133,Bulldozer,1710,PART-3330,Electrical,112.15,0.23595561431697315,1351,LocalVendor2,26,87
EQ-0134,AsphaltPlant,3867,PART-5841,Hydraulic,293.28,0.1491837750877829,4870,Wirtgen,5,74
EQ-0135,Excavator,4228,PART-4606,Electrical,153.32,0.27432610962660453,3931,Wirtgen,53,172
EQ-0136,Excavator,1769,PART-9468,Engine,212.07,0.11774574903878429,2012,Dynapac,56,186
EQ-0137,Bulldozer,1786,PART-1060,Transmission,191.9,0.0961306333184413,1271,LocalVendor1,27,113
EQ-0138,Roller,3085,PART-4927,Transmission,676.01,0.18831118723438817,2539,CAT,17,176
EQ-0139,Roller,4435,PART-7296,Engine,757.11,0.24548573562255122,4400,Wirtgen,11,194
EQ-0140,AsphaltPlant,4860,PART-3591,Transmission,253.75,0.053483768679034135,5962,CAT,46,103
EQ-0141,Paver,1732,PART-9758,Engine,170.21,0.13621065462499793,1760,Volvo,3,37
EQ-0142,AsphaltPlant,1939,PART-7121,Hydraulic,83.88,0.10724526384398902,2439,Volvo,36,60
EQ-0143,Bulldozer,2655,PART-2200,Filters,969.86,0.15999957090944558,2629,LocalVendor1,20,168
EQ-0144,Bulldozer,2713,PART-3854,Electrical,68.64,0.15070125464495832,2697,Wirtgen,7,186
EQ-0145,Bulldozer,2147,PART-8024,Engine,156.0,0.24417668733394046,1657,Dynapac,20,151
EQ-0146,Bulldozer,1572,PART-7972,Electrical,156.17,0.14241166449876516,1857,Wirtgen,54,175
EQ-0147,Bulldozer,2297,PART-1136,Hydraulic,165.88,0.24623488692791604,1948,CAT,53,16
EQ-0148,Excavator,4857,PART-2029,Filters,103.84,0.127942976478692,6021,LocalVendor2,52,15
EQ-0149,Roller,1817,PART-3594,Hydraulic,508.58,0.21485373125736515,2264,Volvo,9,74
EQ-0150,Bulldozer,2583,PART-8206,Transmission,89.2,0.16600641196957033,3270,CAT,15,144
EQ-0151,Paver,6265,PART-1661,Electrical,352.28,0.2710919779078411,6341,LocalVendor1,11,45
EQ-0152,Paver,1805,PART-3472,Filters,89.66,0.04660895960299001,1996,Volvo,4,157
EQ-0153,Paver,3150,PART-1086,Transmission,71.94,0.06852995975681227,3676,Dynapac,39,110
EQ-0154,Paver,4950,PART-7219,Filters,770.49,0.2782135599260871,3854,Volvo,30,7
EQ-0155,Excavator,3031,PART-9143,Transmission,113.26,0.09867144345595522,3214,LocalVendor2,16,7
EQ-0156,Paver,3747,PART-7968,Hydraulic,566.53,0.10311376493468968,2700,Wirtgen,24,88
EQ-0157,Bulldozer,3336,PART-3773,Engine,285.99,0.0886993490150102,3331,LocalVendor2,24,160
EQ-0158,AsphaltPlant,2925,PART-2700,Electrical,74.32,0.23039121695736064,2319,LocalVendor2,19,155
EQ-0159,Paver,4167,PART-3700,Wear,983.33,0.06225796707424128,3374,Wirtgen,47,180
EQ-0160,Excavator,3106,PART-7815,Wear,135.09,0.15157152885943626,2854,Volvo,20,199
EQ-0161,Excavator,2157,PART-2647,Hydraulic,639.07,0.13140647247536236,2069,LocalVendor1,29,174
EQ-0162,Paver,2495,PART-7038,Electrical,105.47,0.22255609084531042,2679,Wirtgen,27,111
EQ-0163,AsphaltPlant,2754,PART-6164,Electrical,627.13,0.11054221363678485,2050,Wirtgen,11,172
EQ-0164,Paver,1933,PART-6520,Hydraulic,54.0,0.17906908053792917,1937,Dynapac,48,138
EQ-0165,Excavator,2545,PART-4687,Electrical,265.1,0.06801486786359111,2060,Volvo,5,24
EQ-0166,Roller,2383,PART-1596,Engine,490.18,0.3091758727074041,2488,Wirtgen,56,143
EQ-0167,Bulldozer,3102,PART-5545,Hydraulic,869.07,0.1332285372742404,3357,LocalVendor1,3,100
EQ-0168,Excavator,5536,PART-9676,Engine,769.74,0.1506134439419757,5724,CAT,4,128
EQ-0169,Paver,2613,PART-9837,Electrical,563.81,0.26583280511953794,2986,Volvo,8,159
EQ-0170,Bulldozer,4485,PART-5757,Hydraulic,707.29,0.10893290579863533,4042,Dynapac,56,25
EQ-0171,Paver,3053,PART-5384,Electrical,116.65,0.26671676400570316,3538,LocalVendor2,17,118
EQ-0172,Paver,2540,PART-9912,Hydraulic,150.3,0.12119701781034274,2437,Wirtgen,32,17
EQ-0173,Roller,1883,PART-5733,Electrical,152.31,0.19701887286748815,1865,LocalVendor1,11,90
EQ-0174,Bulldozer,2549,PART-8081,Engine,191.99,0.10991228518884907,2775,Volvo,20,39
EQ-0175,Bulldozer,2479,PART-9690,Engine,199.93,0.05507744883986858,1762,LocalVendor1,29,51
EQ-0176,Roller,1655,PART-8117,Electrical,285.94,0.1790216045378431,1807,LocalVendor1,18,160
EQ-0177,Excavator,1780,PART-5729,Hydraulic,102.26,0.1947932380688473,1906,LocalVendor2,29,153
EQ-0178,Paver,2764,PART-2673,Wear,402.56,0.05788799803716328,2448,Dynapac,20,150
EQ-0179,AsphaltPlant,4465,PART-9306,Engine,105.02,0.12850591767639014,3355,Volvo,38,163
EQ-0180,Paver,2263,PART-8178,Engine,161.45,0.2340531273075835,1707,Wirtgen,24,192
EQ-0181,Paver,1092,PART-3294,Transmission,259.96,0.19200832655576272,1369,Dynapac,21,129
EQ-0182,Excavator,673,PART-4630,Wear,527.54,0.12233494987511644,749,Wirtgen,14,114
EQ-0183,Paver,1394,PART-1146,Electrical,453.51,0.1081732008855881,1082,CAT,14,41
EQ-0184,Roller,3185,PART-4453,Hydraulic,361.14,0.2863771027594344,2911,LocalVendor1,44,25
EQ-0185,Roller,1205,PART-5507,Transmission,100.8,0.048714755113799926,1271,CAT,12,18
EQ-0186,Bulldozer,3408,PART-6783,Electrical,287.59,0.14585609979139783,4094,LocalVendor1,49,95
EQ-0187,AsphaltPlant,3108,PART-8751,Filters,77.45,0.047471218841423884,2257,LocalVendor2,16,64
EQ-0188,Paver,2227,PART-6628,Engine,192.14,0.2420370251390997,1875,Dynapac,18,128
EQ-0189,Paver,1043,PART-9328,Filters,210.08,0.14950134714541644,1286,Wirtgen,55,27
EQ-0190,Excavator,1662,PART-4360,Engine,62.19,0.16247218593386042,1172,LocalVendor2,51,115
EQ-0191,Roller,2082,PART-4005,Engine,146.06,0.34382246167393266,1708,Wirtgen,29,128
EQ-0192,AsphaltPlant,2734,PART-4552,Filters,984.69,0.10845691269845245,3486,Dynapac,20,161
EQ-0193,Bulldozer,1225,PART-1018,Filters,971.35,0.27240031398409736,1308,Volvo,5,179
EQ-0194,Roller,4265,PART-3242,Electrical,180.31,0.1226487659914268,3655,CAT,23,34
EQ-0195,Bulldozer,2723,PART-7318,Transmission,63.22,0.1336541279690571,2015,CAT,23,119
EQ-0196,Excavator,2862,PART-6097,Transmission,109.2,0.33467226796344196,2051,Wirtgen,56,94
EQ-0197,Excavator,3098,PART-9640,Filters,199.38,0.13872367359168286,2623,Wirtgen,38,42
EQ-0198,Paver,4083,PART-2948,Electrical,935.69,0.05379400169933263,5017,Wirtgen,40,87
EQ-0199,AsphaltPlant,2552,PART-6618,Transmission,95.67,0.16973431516884185,2423,Dynapac,35,31
EQ-0200,Bulldozer,3185,PART-5236,Electrical,482.56,0.1379084222383097,3606,Volvo,34,108
EQ-0201,Roller,1676,PART-7901,Electrical,84.52,0.1756967089213702,2096,CAT,45,120
EQ-0202,Excavator,4869,PART-2920,Engine,1243.09,0.14064815446705614,4600,LocalVendor2,43,19
EQ-0203,Paver,2474,PART-5188,Transmission,194.19,0.30508812313433353,2015,LocalVendor1,41,191
EQ-0204,Paver,1672,PART-1238,Transmission,497.81,0.18897150871851548,1689,Dynapac,34,7
EQ-0205,Bulldozer,1883,PART-1204,Engine,175.83,0.07475247605919273,2344,CAT,13,14
EQ-0206,Excavator,829,PART-6552,Filters,346.39,0.1587182761416698,980,Volvo,3,124
EQ-0207,AsphaltPlant,1878,PART-5927,Engine,113.96,0.09402591230830726,1388,Dynapac,29,149
EQ-0208,Excavator,572,PART-5390,Transmission,97.35,0.13266003102479323,638,LocalVendor2,11,132
EQ-0209,Bulldozer,3289,PART-3687,Transmission,884.5,0.08626915026032239,3430,CAT,23,15
EQ-0210,Bulldozer,2823,PART-5951,Filters,799.02,0.2974982966244216,3513,Dynapac,18,180
EQ-0211,Excavator,1436,PART-7160,Engine,705.36,0.10160307693752446,1110,CAT,27,137
EQ-0212,Bulldozer,2282,PART-6388,Hydraulic,344.6,0.1981295046395896,2328,CAT,4,73
EQ-0213,Excavator,2329,PART-6126,Hydraulic,545.5,0.1273564404686361,2859,Volvo,8,68
EQ-0214,Roller,1292,PART-1816,Filters,71.46,0.06891107791990467,1222,LocalVendor1,45,18
EQ-0215,Excavator,2102,PART-1192,Engine,172.3,0.16383545120296547,2079,Volvo,9,54
EQ-0216,Excavator,2362,PART-2776,Engine,162.93,0.17804842859599945,1753,CAT,21,158
EQ-0217,Bulldozer,2076,PART-4645,Electrical,352.89,0.18910385729281598,1799,Dynapac,13,76
EQ-0218,Bulldozer,1671,PART-7314,Transmission,182.0,0.01,1495,LocalVendor2,36,73
EQ-0219,Paver,1410,PART-9442,Wear,98.23,0.06356080004316361,1786,Volvo,18,139
EQ-0220,Paver,2042,PART-2788,Filters,322.25,0.21702883033153192,1775,LocalVendor1,29,131
EQ-0221,Roller,1769,PART-8374,Wear,555.22,0.08534751261738455,1727,CAT,42,20
EQ-0222,Paver,3008,PART-4700,Wear,194.44,0.16420608352170776,3317,LocalVendor2,11,187
EQ-0223,Excavator,4194,PART-4893,Filters,92.56,0.06193827133398501,3343,Volvo,23,82
EQ-0224,Bulldozer,3481,PART-7811,Engine,115.7,0.2012120771510908,3452,Volvo,39,105
EQ-0225,Paver,2398,PART-3679,Filters,131.34,0.2151888717196902,2741,Volvo,58,60
EQ-0226,Paver,1701,PART-4904,Wear,156.96,0.20123369343206568,2075,Volvo,34,109
EQ-0227,Roller,3439,PART-8260,Transmission,358.83,0.22227897686475181,3699,LocalVendor2,23,136
EQ-0228,Roller,3088,PART-1504,Transmission,325.6,0.2594730101429673,3401,Dynapac,45,52
EQ-0229,Excavator,4065,PART-7773,Transmission,407.3,0.06781481078737175,3153,LocalVendor1,38,21
EQ-0230,Bulldozer,2553,PART-4816,Engine,185.06,0.09479296481940461,3235,LocalVendor1,14,115
EQ-0231,Roller,4755,PART-1717,Hydraulic,571.18,0.21282804992126564,3706,CAT,28,168
EQ-0232,Paver,2553,PART-5434,Filters,118.48,0.2291153840286237,2973,Wirtgen,16,74
EQ-0233,Bulldozer,1698,PART-1658,Transmission,239.92,0.1027959932499652,1458,Dynapac,23,84
EQ-0234,Bulldozer,1848,PART-6057,Filters,534.24,0.0979279754272091,2328,CAT,31,97
EQ-0235,Paver,2944,PART-5008,Transmission,109.59,0.1043450557048646,3332,CAT,44,42
EQ-0236,Roller,1766,PART-5994,Engine,84.91,0.03764335251692376,2034,Volvo,41,105
EQ-0237,Paver,4740,PART-5234,Hydraulic,695.43,0.06100121724781471,3941,Wirtgen,38,66
EQ-0238,Bulldozer,2837,PART-4764,Hydraulic,175.99,0.06268951484788925,2740,Wirtgen,35,125
EQ-0239,AsphaltPlant,2374,PART-5637,Transmission,395.48,0.12941310683360566,2541,Dynapac,45,52
EQ-0240,AsphaltPlant,2465,PART-3104,Engine,57.7,0.16895855610837682,2864,Wirtgen,35,14
EQ-0241,Excavator,2066,PART-7801,Electrical,401.4,0.18034309821496605,1575,CAT,59,40
EQ-0242,Paver,955,PART-9575,Filters,163.98,0.11440064227070232,1219,Wirtgen,49,161
EQ-0243,Paver,1849,PART-3607,Filters,67.21,0.11612090186033847,2281,Wirtgen,54,8
EQ-0244,Excavator,4479,PART-9385,Wear,332.34,0.15865630466058828,3861,LocalVendor1,36,48
EQ-0245,Excavator,2584,PART-4719,Engine,132.65,0.0452789809995401,3084,CAT,43,60
EQ-0246,Excavator,3656,PART-3581,Wear,196.72,0.21716083724581625,3696,LocalVendor2,20,46
EQ-0247,Bulldozer,3703,PART-3565,Transmission,75.2,0.23997696953099895,3618,Wirtgen,9,118
EQ-0248,Paver,2291,PART-3763,Wear,97.76,0.1062093553618372,2035,Wirtgen,40,145
EQ-0249,Bulldozer,3111,PART-7328,Hydraulic,156.14,0.12210946884558546,3262,Volvo,34,178
EQ-0250,Excavator,1011,PART-6991,Filters,78.21,0.23703185573916186,1150,Wirtgen,45,165
EQ-0251,Paver,4319,PART-4406,Wear,775.15,0.14138638863070704,4088,Wirtgen,29,25
EQ-0252,Bulldozer,4163,PART-9923,Hydraulic,51.82,0.1911771812166141,4485,LocalVendor1,38,83
EQ-0253,Bulldozer,2908,PART-5780,Engine,248.41,0.14353862243394583,3255,CAT,49,189
EQ-0254,Excavator,2626,PART-5177,Wear,89.46,0.2589415171936192,2958,Dynapac,26,73
EQ-0255,Paver,2305,PART-7476,Transmission,160.31,0.1843055739776047,1685,CAT,37,74
EQ-0256,Excavator,3843,PART-3604,Transmission,831.35,0.18833590403434347,4672,Volvo,18,71
EQ-0257,Paver,3270,PART-9181,Transmission,102.91,0.18964145771135107,3188,CAT,25,52
EQ-0258,AsphaltPlant,410,PART-3382,Filters,1062.94,0.11114203845706014,351,Wirtgen,22,165
EQ-0259,Roller,1963,PART-1531,Wear,119.12,0.11757326041542253,1658,Volvo,3,40
EQ-0260,Roller,1320,PART-7079,Engine,455.93,0.20384719476919824,1306,CAT,32,165
EQ-0261,Roller,1195,PART-1634,Wear,287.35,0.1588488980603532,1472,Volvo,45,163
EQ-0262,Excavator,3825,PART-1002,Filters,697.49,0.06756722945317588,3545,Dynapac,34,153
EQ-0263,AsphaltPlant,2283,PART-9397,Hydraulic,292.23,0.2811173097237346,2625,CAT,31,31
