date,product_id,product_name,category,supplier,qty_sold,price_usd
2025-08-26,P014,Sandwich Veggie,Food,Gourmet Beans,11,3.7
2025-08-26,P015,Chocolate Bar,Food,QuickSupplies,21,3.24
2025-08-26,P016,Cookie Pack,Food,Local Bakery Co,30,9.06
2025-08-26,P017,Cold Brew 330ml,Beverage,QuickSupplies,30,5.34
2025-08-26,P018,Iced Latte 330ml,Beverage,Gourmet Beans,20,4.68
2025-08-26,P019,Cup 8oz,Supply,Gourmet Beans,10,0.45
2025-08-26,P020,Paper Cup 12oz,Supply,BeverageHub,10,1.05
2025-08-27,P001,Espresso Beans 250g,Beverage,Gourmet Beans,20,7.58
2025-08-27,P002,Espresso Beans 1kg,Beverage,BeverageHub,25,2.81
2025-08-27,P003,Ground Coffee 500g,Beverage,BeverageHub,48,7.25
2025-08-27,P004,Latte Milk 1L,Dairy,QuickSupplies,4,7.78
2025-08-27,P005,Oat Milk 1L,Dairy,Local Bakery Co,7,9.61
2025-08-27,P006,Croissant,Bakery,FreshDairy,12,6.35
2025-08-27,P007,Pain au Chocolat,Bakery,Gourmet Beans,37,1.52
2025-08-27,P008,Bagel,Bakery,FreshDairy,20,6.88
2025-08-27,P009,Sourdough Loaf,Bakery,FreshDairy,14,3.36
2025-08-27,P010,Muffin,Bakery,FreshDairy,12,7.26
2025-08-27,P011,Bottled Water 500ml,Beverage,Gourmet Beans,44,2.3
2025-08-27,P012,Orange Juice 1L,Beverage,QuickSupplies,29,2.82
2025-08-27,P013,Sandwich Ham-Cheese,Food,FreshDairy,1,4.49
2025-08-27,P014,Sandwich Veggie,Food,Gourmet Beans,6,3.7
2025-08-27,P015,Chocolate Bar,Food,QuickSupplies,17,3.24
2025-08-27,P016,Cookie Pack,Food,Local Bakery Co,29,9.06
2025-08-27,P017,Cold Brew 330ml,Beverage,QuickSupplies,38,5.34
2025-08-27,P018,Iced Latte 330ml,Beverage,Gourmet Beans,22,4.68
2025-08-27,P019,Cup 8oz,Supply,Gourmet Beans,7,0.45
2025-08-27,P020,Paper Cup 12oz,Supply,BeverageHub,8,1.05
2025-08-28,P001,Espresso Beans 250g,Beverage,Gourmet Beans,11,7.58
2025-08-28,P002,Espresso Beans 1kg,Beverage,BeverageHub,21,2.81
2025-08-28,P003,Ground Coffee 500g,Beverage,BeverageHub,43,7.25
2025-08-28,P004,Latte Milk 1L,Dairy,QuickSupplies,4,7.78
2025-08-28,P005,Oat Milk 1L,Dairy,Local Bakery Co,5,9.61
2025-08-28,P006,Croissant,Bakery,FreshDairy,6,6.35
2025-08-28,P007,Pain au Chocolat,Bakery,Gourmet Beans,38,1.52
2025-08-28,P008,Bagel,Bakery,FreshDairy,24,6.88
2025-08-28,P009,Sourdough Loaf,Bakery,FreshDairy,6,3.36
2025-08-28,P010,Muffin,Bakery,FreshDairy,15,7.26
2025-08-28,P011,Bottled Water 500ml,Beverage,Gourmet Beans,60,2.3
2025-08-28,P012,Orange Juice 1L,Beverage,QuickSupplies,29,2.82
2025-08-28,P013,Sandwich Ham-Cheese,Food,FreshDairy,3,4.49
2025-08-28,P014,Sandwich Veggie,Food,Gourmet Beans,2,3.7
2025-08-28,P015,Chocolate Bar,Food,QuickSupplies,10,3.24
2025-08-28,P016,Cookie Pack,Food,Local Bakery Co,19,9.06
2025-08-28,P017,Cold Brew 330ml,Beverage,QuickSupplies,45,5.34
2025-08-28,P018,Iced Latte 330ml,Beverage,Gourmet Beans,22,4.68
2025-08-28,P019,Cup 8oz,Supply,Gourmet Beans,14,0.45
2025-08-28,P020,Paper Cup 12oz,Supply,BeverageHub,19,1.05
2025-08-29,P001,Espresso Beans 250g,Beverage,Gourmet Beans,10,7.58
2025-08-29,P002,Espresso Beans 1kg,Beverage,BeverageHub,23,2.81
2025-08-29,P003,Ground Coffee 500g,Beverage,BeverageHub,53,7.25
2025-08-29,P004,Latte Milk 1L,Dairy,QuickSupplies,4,7.78
2025-08-29,P005,Oat Milk 1L,Dairy,Local Bakery Co,14,9.61
2025-08-29,P006,Croissant,Bakery,FreshDairy,6,6.35
2025-08-29,P007,Pain au Chocolat,Bakery,Gourmet Beans,29,1.52
2025-08-29,P008,Bagel,Bakery,FreshDairy,29,6.88
2025-08-29,P009,Sourdough Loaf,Bakery,FreshDairy,5,3.36
2025-08-29,P010,Muffin,Bakery,FreshDairy,12,7.26
2025-08-29,P011,Bottled Water 500ml,Beverage,Gourmet Beans,55,2.3
2025-08-29,P012,Orange Juice 1L,Beverage,QuickSupplies,34,2.82
2025-08-29,P013,Sandwich Ham-Cheese,Food,FreshDairy,2,4.49
2025-08-29,P014,Sandwich Veggie,Food,Gourmet Beans,3,3.7
2025-08-29,P015,Chocolate Bar,Food,QuickSupplies,10,3.24
2025-08-29,P016,Cookie Pack,Food,Local Bakery Co,31,9.06
2025-08-29,P017,Cold Brew 330ml,Beverage,QuickSupplies,36,5.34
2025-08-29,P018,Iced Latte 330ml,Beverage,Gourmet Beans,24,4.68
2025-08-29,P019,Cup 8oz,Supply,Gourmet Beans,7,0.45
2025-08-29,P020,Paper Cup 12oz,Supply,BeverageHub,13,1.05
2025-08-30,P001,Espresso Beans 250g,Beverage,Gourmet Beans,16,7.58
2025-08-30,P002,Espresso Beans 1kg,Beverage,BeverageHub,27,2.81
2025-08-30,P003,Ground Coffee 500g,Beverage,BeverageHub,68,7.25
2025-08-30,P004,Latte Milk 1L,Dairy,QuickSupplies,6,7.78
2025-08-30,P005,Oat Milk 1L,Dairy,Local Bakery Co,13,9.61
2025-08-30,P006,Croissant,Bakery,FreshDairy,11,6.35
2025-08-30,P007,Pain au Chocolat,Bakery,Gourmet Beans,50,1.52
2025-08-30,P008,Bagel,Bakery,FreshDairy,42,6.88
2025-08-30,P009,Sourdough Loaf,Bakery,FreshDairy,12,3.36
2025-08-30,P010,Muffin,Bakery,FreshDairy,20,7.26
2025-08-30,P011,Bottled Water 500ml,Beverage,Gourmet Beans,81,2.3
2025-08-30,P012,Orange Juice 1L,Beverage,QuickSupplies,35,2.82
2025-08-30,P013,Sandwich Ham-Cheese,Food,FreshDairy,5,4.49
2025-08-30,P014,Sandwich Veggie,Food,Gourmet Beans,8,3.7
2025-08-30,P015,Chocolate Bar,Food,QuickSupplies,11,3.24
2025-08-30,P016,Cookie Pack,Food,Local Bakery Co,27,9.06
2025-08-30,P017,Cold Brew 330ml,Beverage,QuickSupplies,49,5.34
2025-08-30,P018,Iced Latte 330ml,Beverage,Gourmet Beans,32,4.68
2025-08-30,P019,Cup 8oz,Supply,Gourmet Beans,15,0.45
2025-08-30,P020,Paper Cup 12oz,Supply,BeverageHub,7,1.05
2025-08-31,P001,Espresso Beans 250g,Beverage,Gourmet Beans,9,7.58
2025-08-31,P002,Espresso Beans 1kg,Beverage,BeverageHub,19,2.81
2025-08-31,P003,Ground Coffee 500g,Beverage,BeverageHub,49,7.25
2025-08-31,P004,Latte Milk 1L,Dairy,QuickSupplies,4,7.78
2025-08-31,P005,Oat Milk 1L,Dairy,Local Bakery Co,4,9.61
2025-08-31,P006,Croissant,Bakery,FreshDairy,7,6.35
2025-08-31,P007,Pain au Chocolat,Bakery,Gourmet Beans,51,1.52
2025-08-31,P008,Bagel,Bakery,FreshDairy,24,6.88
2025-08-31,P009,Sourdough Loaf,Bakery,FreshDairy,10,3.36
2025-08-31,P010,Muffin,Bakery,FreshDairy,15,7.26
2025-08-31,P011,Bottled Water 500ml,Beverage,Gourmet Beans,90,2.3
2025-08-31,P012,Orange Juice 1L,Beverage,QuickSupplies,39,2.82
2025-08-31,P013,Sandwich Ham-Cheese,Food,FreshDairy,2,4.49
2025-08-31,P014,Sandwich Veggie,Food,Gourmet Beans,4,3.7
2025-08-31,P015,Chocolate Bar,Food,QuickSupplies,14,3.24
2025-08-31,P016,Cookie Pack,Food,Local Bakery Co,37,9.06
2025-08-31,P017,Cold Brew 330ml,Beverage,QuickSupplies,55,5.34
2025-08-31,P018,Iced Latte 330ml,Beverage,Gourmet Beans,24,4.68
2025-08-31,P019,Cup 8oz,Supply,Gourmet Beans,12,0.45
2025-08-31,P020,Paper Cup 12oz,Supply,BeverageHub,8,1.05
2025-09-01,P001,Espresso Beans 250g,Beverage,Gourmet Beans,8,7.58
2025-09-01,P002,Espresso Beans 1kg,Beverage,BeverageHub,15,2.81
2025-09-01,P003,Ground Coffee 500g,Beverage,BeverageHub,37,7.25
2025-09-01,P004,Latte Milk 1L,Dairy,QuickSupplies,4,7.78
2025-09-01,P005,Oat Milk 1L,Dairy,Local Bakery Co,13,9.61
2025-09-01,P006,Croissant,Bakery,FreshDairy,7,6.35
2025-09-01,P007,Pain au Chocolat,Bakery,Gourmet Beans,37,1.52
2025-09-01,P008,Bagel,Bakery,FreshDairy,16,6.88
2025-09-01,P009,Sourdough Loaf,Bakery,FreshDairy,5,3.36
2025-09-01,P010,Muffin,Bakery,FreshDairy,16,7.26
2025-09-01,P011,Bottled Water 500ml,Beverage,Gourmet Beans,61,2.3
2025-09-01,P012,Orange Juice 1L,Beverage,QuickSupplies,28,2.82
2025-09-01,P013,Sandwich Ham-Cheese,Food,FreshDairy,3,4.49
2025-09-01,P014,Sandwich Veggie,Food,Gourmet Beans,9,3.7
2025-09-01,P015,Chocolate Bar,Food,QuickSupplies,12,3.24
2025-09-01,P016,Cookie Pack,Food,Local Bakery Co,35,9.06
2025-09-01,P017,Cold Brew 330ml,Beverage,QuickSupplies,40,5.34
2025-09-01,P018,Iced Latte 330ml,Beverage,Gourmet Beans,25,4.68
2025-09-01,P019,Cup 8oz,Supply,Gourmet Beans,13,0.45
2025-09-01,P020,Paper Cup 12oz,Supply,BeverageHub,20,1.05
2025-09-02,P001,Espresso Beans 250g,Beverage,Gourmet Beans,9,7.58
2025-09-02,P002,Espresso Beans 1kg,Beverage,BeverageHub,24,2.81
2025-09-02,P003,Ground Coffee 500g,Beverage,BeverageHub,45,7.25
2025-09-02,P004,Latte Milk 1L,Dairy,QuickSupplies,3,7.78
2025-09-02,P005,Oat Milk 1L,Dairy,Local Bakery Co,9,9.61
2025-09-02,P006,Croissant,Bakery,FreshDairy,9,6.35
2025-09-02,P007,Pain au Chocolat,Bakery,Gourmet Beans,34,1.52
2025-09-02,P008,Bagel,Bakery,FreshDairy,36,6.88
2025-09-02,P009,Sourdough Loaf,Bakery,FreshDairy,7,3.36
2025-09-02,P010,Muffin,Bakery,FreshDairy,15,7.26
2025-09-02,P011,Bottled Water 500ml,Beverage,Gourmet Beans,73,2.3
2025-09-02,P012,Orange Juice 1L,Beverage,QuickSupplies,23,2.82
2025-09-02,P013,Sandwich Ham-Cheese,Food,FreshDairy,5,4.49
2025-09-02,P014,Sandwich Veggie,Food,Gourmet Beans,9,3.7
2025-09-02,P015,Chocolate Bar,Food,QuickSupplies,14,3.24
2025-09-02,P016,Cookie Pack,Food,Local Bakery Co,28,9.06
2025-09-02,P017,Cold Brew 330ml,Beverage,QuickSupplies,50,5.34
2025-09-02,P018,Iced Latte 330ml,Beverage,Gourmet Beans,17,4.68
2025-09-02,P019,Cup 8oz,Supply,Gourmet Beans,9,0.45
2025-09-02,P020,Paper Cup 12oz,Supply,BeverageHub,15,1.05
2025-09-03,P001,Espresso Beans 250g,Beverage,Gourmet Beans,13,7.58
2025-09-03,P002,Espresso Beans 1kg,Beverage,BeverageHub,31,2.81
2025-09-03,P003,Ground Coffee 500g,Beverage,BeverageHub,42,7.25
2025-09-03,P004,Latte Milk 1L,Dairy,QuickSupplies,5,7.78
2025-09-03,P005,Oat Milk 1L,Dairy,Local Bakery Co,6,9.61
2025-09-03,P006,Croissant,Bakery,FreshDairy,8,6.35
2025-09-03,P007,Pain au Chocolat,Bakery,Gourmet Beans,50,1.52
2025-09-03,P008,Bagel,Bakery,FreshDairy,24,6.88
2025-09-03,P009,Sourdough Loaf,Bakery,FreshDairy,3,3.36
2025-09-03,P010,Muffin,Bakery,FreshDairy,16,7.26
2025-09-03,P011,Bottled Water 500ml,Beverage,Gourmet Beans,52,2.3
2025-09-03,P012,Orange Juice 1L,Beverage,QuickSupplies,32,2.82
2025-09-03,P013,Sandwich Ham-Cheese,Food,FreshDairy,0,4.49
2025-09-03,P014,Sandwich Veggie,Food,Gourmet Beans,9,3.7
2025-09-03,P015,Chocolate Bar,Food,QuickSupplies,18,3.24
2025-09-03,P016,Cookie Pack,Food,Local Bakery Co,26,9.06
2025-09-03,P017,Cold Brew 330ml,Beverage,QuickSupplies,33,5.34
2025-09-03,P018,Iced Latte 330ml,Beverage,Gourmet Beans,14,4.68
2025-09-03,P019,Cup 8oz,Supply,Gourmet Beans,12,0.45
2025-09-03,P020,Paper Cup 12oz,Supply,BeverageHub,13,1.05
2025-09-04,P001,Espresso Beans 250g,Beverage,Gourmet Beans,14,7.58
2025-09-04,P002,Espresso Beans 1kg,Beverage,BeverageHub,20,2.81
2025-09-04,P003,Ground Coffee 500g,Beverage,BeverageHub,38,7.25
2025-09-04,P004,Latte Milk 1L,Dairy,QuickSupplies,5,7.78
2025-09-04,P005,Oat Milk 1L,Dairy,Local Bakery Co,8,9.61
2025-09-04,P006,Croissant,Bakery,FreshDairy,10,6.35
2025-09-04,P007,Pain au Chocolat,Bakery,Gourmet Beans,23,1.52
2025-09-04,P008,Bagel,Bakery,FreshDairy,31,6.88
2025-09-04,P009,Sourdough Loaf,Bakery,FreshDairy,6,3.36
2025-09-04,P010,Muffin,Bakery,FreshDairy,15,7.26
2025-09-04,P011,Bottled Water 500ml,Beverage,Gourmet Beans,62,2.3
2025-09-04,P012,Orange Juice 1L,Beverage,QuickSupplies,33,2.82
2025-09-04,P013,Sandwich Ham-Cheese,Food,FreshDairy,0,4.49
2025-09-04,P014,Sandwich Veggie,Food,Gourmet Beans,7,3.7
2025-09-04,P015,Chocolate Bar,Food,QuickSupplies,9,3.24
2025-09-04,P016,Cookie Pack,Food,Local Bakery Co,29,9.06
2025-09-04,P017,Cold Brew 330ml,Beverage,QuickSupplies,38,5.34
2025-09-04,P018,Iced Latte 330ml,Beverage,Gourmet Beans,21,4.68
2025-09-04,P019,Cup 8oz,Supply,Gourmet Beans,11,0.45
2025-09-04,P020,Paper Cup 12oz,Supply,BeverageHub,15,1.05
2025-09-05,P001,Espresso Beans 250g,Beverage,Gourmet Beans,15,7.58
2025-09-05,P002,Espresso Beans 1kg,Beverage,BeverageHub,19,2.81
2025-09-05,P003,Ground Coffee 500g,Beverage,BeverageHub,55,7.25
2025-09-05,P004,Latte Milk 1L,Dairy,QuickSupplies,3,7.78
2025-09-05,P005,Oat Milk 1L,Dairy,Local Bakery Co,12,9.61
2025-09-05,P006,Croissant,Bakery,FreshDairy,5,6.35
2025-09-05,P007,Pain au Chocolat,Bakery,Gourmet Beans,37,1.52
2025-09-05,P008,Bagel,Bakery,FreshDairy,24,6.88
2025-09-05,P009,Sourdough Loaf,Bakery,FreshDairy,5,3.36
2025-09-05,P010,Muffin,Bakery,FreshDairy,19,7.26
2025-09-05,P011,Bottled Water 500ml,Beverage,Gourmet Beans,73,2.3
2025-09-05,P012,Orange Juice 1L,Beverage,QuickSupplies,34,2.82
2025-09-05,P013,Sandwich Ham-Cheese,Food,FreshDairy,5,4.49
2025-09-05,P014,Sandwich Veggie,Food,Gourmet Beans,7,3.7
2025-09-05,P015,Chocolate Bar,Food,QuickSupplies,6,3.24
2025-09-05,P016,Cookie Pack,Food,Local Bakery Co,27,9.06
2025-09-05,P017,Cold Brew 330ml,Beverage,QuickSupplies,44,5.34
2025-09-05,P018,Iced Latte 330ml,Beverage,Gourmet Beans,17,4.68
2025-09-05,P019,Cup 8oz,Supply,Gourmet Beans,12,0.45
2025-09-05,P020,Paper Cup 12oz,Supply,BeverageHub,9,1.05
2025-09-06,P001,Espresso Beans 250g,Beverage,Gourmet Beans,12,7.58
2025-09-06,P002,Espresso Beans 1kg,Beverage,BeverageHub,19,2.81
2025-09-06,P003,Ground Coffee 500g,Beverage,BeverageHub,61,7.25
2025-09-06,P004,Latte Milk 1L,Dairy,QuickSupplies,3,7.78
2025-09-06,P005,Oat Milk 1L,Dairy,Local Bakery Co,13,9.61
2025-09-06,P006,Croissant,Bakery,FreshDairy,8,6.35
2025-09-06,P007,Pain au Chocolat,Bakery,Gourmet Beans,55,1.52
2025-09-06,P008,Bagel,Bakery,FreshDairy,34,6.88
2025-09-06,P009,Sourdough Loaf,Bakery,FreshDairy,16,3.36
2025-09-06,P010,Muffin,Bakery,FreshDairy,12,7.26
2025-09-06,P011,Bottled Water 500ml,Beverage,Gourmet Beans,81,2.3
2025-09-06,P012,Orange Juice 1L,Beverage,QuickSupplies,37,2.82
2025-09-06,P013,Sandwich Ham-Cheese,Food,FreshDairy,3,4.49
2025-09-06,P014,Sandwich Veggie,Food,Gourmet Beans,11,3.7
2025-09-06,P015,Chocolate Bar,Food,QuickSupplies,24,3.24
2025-09-06,P016,Cookie Pack,Food,Local Bakery Co,18,9.06
2025-09-06,P017,Cold Brew 330ml,Beverage,QuickSupplies,54,5.34
2025-09-06,P018,Iced Latte 330ml,Beverage,Gourmet Beans,25,4.68
2025-09-06,P019,Cup 8oz,Supply,Gourmet Beans,8,0.45
2025-09-06,P020,Paper Cup 12oz,Supply,BeverageHub,13,1.05
2025-09-07,P001,Espresso Beans 250g,Beverage,Gourmet Beans,16,7.58
2025-09-07,P002,Espresso Beans 1kg,Beverage,BeverageHub,23,2.81
2025-09-07,P003,Ground Coffee 500g,Beverage,BeverageHub,46,7.25
2025-09-07,P004,Latte Milk 1L,Dairy,QuickSupplies,2,7.78
2025-09-07,P005,Oat Milk 1L,Dairy,Local Bakery Co,12,9.61
2025-09-07,P006,Croissant,Bakery,FreshDairy,9,6.35
2025-09-07,P007,Pain au Chocolat,Bakery,Gourmet Beans,55,1.52
2025-09-07,P008,Bagel,Bakery,FreshDairy,39,6.88
2025-09-07,P009,Sourdough Loaf,Bakery,FreshDairy,6,3.36
2025-09-07,P010,Muffin,Bakery,FreshDairy,12,7.26
2025-09-07,P011,Bottled Water 500ml,Beverage,Gourmet Beans,71,2.3
2025-09-07,P012,Orange Juice 1L,Beverage,QuickSupplies,36,2.82
2025-09-07,P013,Sandwich Ham-Cheese,Food,FreshDairy,3,4.49
2025-09-07,P014,Sandwich Veggie,Food,Gourmet Beans,3,3.7
2025-09-07,P015,Chocolate Bar,Food,QuickSupplies,15,3.24
2025-09-07,P016,Cookie Pack,Food,Local Bakery Co,25,9.06
2025-09-07,P017,Cold Brew 330ml,Beverage,QuickSupplies,57,5.34
2025-09-07,P018,Iced Latte 330ml,Beverage,Gourmet Beans,16,4.68
2025-09-07,P019,Cup 8oz,Supply,Gourmet Beans,7,0.45
2025-09-07,P020,Paper Cup 12oz,Supply,BeverageHub,13,1.05
2025-09-08,P001,Espresso Beans 250g,Beverage,Gourmet Beans,9,7.58
2025-09-08,P002,Espresso Beans 1kg,Beverage,BeverageHub,11,2.81
2025-09-08,P003,Ground Coffee 500g,Beverage,BeverageHub,32,7.25
2025-09-08,P004,Latte Milk 1L,Dairy,QuickSupplies,4,7.78
2025-09-08,P005,Oat Milk 1L,Dairy,Local Bakery Co,10,9.61
2025-09-08,P006,Croissant,Bakery,FreshDairy,9,6.35
2025-09-08,P007,Pain au Chocolat,Bakery,Gourmet Beans,23,1.52
2025-09-08,P008,Bagel,Bakery,FreshDairy,20,6.88
2025-09-08,P009,Sourdough Loaf,Bakery,FreshDairy,7,3.36
2025-09-08,P010,Muffin,Bakery,FreshDairy,16,7.26
2025-09-08,P011,Bottled Water 500ml,Beverage,Gourmet Beans,58,2.3
2025-09-08,P012,Orange Juice 1L,Beverage,QuickSupplies,30,2.82
2025-09-08,P013,Sandwich Ham-Cheese,Food,FreshDairy,0,4.49
2025-09-08,P014,Sandwich Veggie,Food,Gourmet Beans,9,3.7
2025-09-08,P015,Chocolate Bar,Food,QuickSupplies,20,3.24
2025-09-08,P016,Cookie Pack,Food,Local Bakery Co,27,9.06
2025-09-08,P017,Cold Brew 330ml,Beverage,QuickSupplies,36,5.34
2025-09-08,P018,Iced Latte 330ml,Beverage,Gourmet Beans,24,4.68
2025-09-08,P019,Cup 8oz,Supply,Gourmet Beans,11,0.45
2025-09-08,P020,Paper Cup 12oz,Supply,BeverageHub,23,1.05
2025-09-09,P001,Espresso Beans 250g,Beverage,Gourmet Beans,14,7.58
2025-09-09,P002,Espresso Beans 1kg,Beverage,BeverageHub,15,2.81
2025-09-09,P003,Ground Coffee 500g,Beverage,BeverageHub,39,7.25
2025-09-09,P004,Latte Milk 1L,Dairy,QuickSupplies,3,7.78
2025-09-09,P005,Oat Milk 1L,Dairy,Local Bakery Co,9,9.61
2025-09-09,P006,Croissant,Bakery,FreshDairy,8,6.35
2025-09-09,P007,Pain au Chocolat,Bakery,Gourmet Beans,27,1.52
2025-09-09,P008,Bagel,Bakery,FreshDairy,29,6.88
2025-09-09,P009,Sourdough Loaf,Bakery,FreshDairy,7,3.36
2025-09-09,P010,Muffin,Bakery,FreshDairy,6,7.26
2025-09-09,P011,Bottled Water 500ml,Beverage,Gourmet Beans,68,2.3
2025-09-09,P012,Orange Juice 1L,Beverage,QuickSupplies,20,2.82
2025-09-09,P013,Sandwich Ham-Cheese,Food,FreshDairy,3,4.49
2025-09-09,P014,Sandwich Veggie,Food,Gourmet Beans,7,3.7
2025-09-09,P015,Chocolate Bar,Food,QuickSupplies,15,3.24
2025-09-09,P016,Cookie Pack,Food,Local Bakery Co,30,9.06
2025-09-09,P017,Cold Brew 330ml,Beverage,QuickSupplies,40,5.34
2025-09-09,P018,Iced Latte 330ml,Beverage,Gourmet Beans,16,4.68
2025-09-09,P019,Cup 8oz,Supply,Gourmet Beans,13,0.45
2025-09-09,P020,Paper Cup 12oz,Supply,BeverageHub,14,1.05
2025-09-10,P001,Espresso Beans 250g,Beverage,Gourmet Beans,13,7.58
2025-09-10,P002,Espresso Beans 1kg,Beverage,BeverageHub,20,2.81
2025-09-10,P003,Ground Coffee 500g,Beverage,BeverageHub,44,7.25
2025-09-10,P004,Latte Milk 1L,Dairy,QuickSupplies,4,7.78
2025-09-10,P005,Oat Milk 1L,Dairy,Local Bakery Co,8,9.61
2025-09-10,P006,Croissant,Bakery,FreshDairy,8,6.35
2025-09-10,P007,Pain au Chocolat,Bakery,Gourmet Beans,31,1.52
2025-09-10,P008,Bagel,Bakery,FreshDairy,26,6.88
2025-09-10,P009,Sourdough Loaf,Bakery,FreshDairy,6,3.36
2025-09-10,P010,Muffin,Bakery,FreshDairy,18,7.26
2025-09-10,P011,Bottled Water 500ml,Beverage,Gourmet Beans,66,2.3
2025-09-10,P012,Orange Juice 1L,Beverage,QuickSupplies,36,2.82
2025-09-10,P013,Sandwich Ham-Cheese,Food,FreshDairy,0,4.49
2025-09-10,P014,Sandwich Veggie,Food,Gourmet Beans,9,3.7
2025-09-10,P015,Chocolate Bar,Food,QuickSupplies,14,3.24
2025-09-10,P016,Cookie Pack,Food,Local Bakery Co,21,9.06
2025-09-10,P017,Cold Brew 330ml,Beverage,QuickSupplies,29,5.34
2025-09-10,P018,Iced Latte 330ml,Beverage,Gourmet Beans,19,4.68
2025-09-10,P019,Cup 8oz,Supply,Gourmet Beans,12,0.45
2025-09-10,P020,Paper Cup 12oz,Supply,BeverageHub,8,1.05
2025-09-11,P001,Espresso Beans 250g,Beverage,Gourmet Beans,12,7.58
2025-09-11,P002,Espresso Beans 1kg,Beverage,BeverageHub,18,2.81
2025-09-11,P003,Ground Coffee 500g,Beverage,BeverageHub,33,7.25
2025-09-11,P004,Latte Milk 1L,Dairy,QuickSupplies,1,7.78
2025-09-11,P005,Oat Milk 1L,Dairy,Local Bakery Co,10,9.61
2025-09-11,P006,Croissant,Bakery,FreshDairy,7,6.35
2025-09-11,P007,Pain au Chocolat,Bakery,Gourmet Beans,23,1.52
2025-09-11,P008,Bagel,Bakery,FreshDairy,31,6.88
2025-09-11,P009,Sourdough Loaf,Bakery,FreshDairy,3,3.36
2025-09-11,P010,Muffin,Bakery,FreshDairy,13,7.26
2025-09-11,P011,Bottled Water 500ml,Beverage,Gourmet Beans,59,2.3
2025-09-11,P012,Orange Juice 1L,Beverage,QuickSupplies,26,2.82
2025-09-11,P013,Sandwich Ham-Cheese,Food,FreshDairy,2,4.49
2025-09-11,P014,Sandwich Veggie,Food,Gourmet Beans,10,3.7
2025-09-11,P015,Chocolate Bar,Food,QuickSupplies,17,3.24
2025-09-11,P016,Cookie Pack,Food,Local Bakery Co,26,9.06
2025-09-11,P017,Cold Brew 330ml,Beverage,QuickSupplies,34,5.34
2025-09-11,P018,Iced Latte 330ml,Beverage,Gourmet Beans,14,4.68
2025-09-11,P019,Cup 8oz,Supply,Gourmet Beans,11,0.45
2025-09-11,P020,Paper Cup 12oz,Supply,BeverageHub,14,1.05
2025-09-12,P001,Espresso Beans 250g,Beverage,Gourmet Beans,7,7.58
2025-09-12,P002,Espresso Beans 1kg,Beverage,BeverageHub,25,2.81
2025-09-12,P003,Ground Coffee 500g,Beverage,BeverageHub,34,7.25
2025-09-12,P004,Latte Milk 1L,Dairy,QuickSupplies,7,7.78
2025-09-12,P005,Oat Milk 1L,Dairy,Local Bakery Co,10,9.61
